预测值：0.6050687830238095 真实值：0.608888889 误差：0.627389667508%
预测值：0.6147740740433334 真实值：0.595 误差：3.3233737888%
预测值：0.5919365078333334 真实值：0.590555556 误差：0.233839444791%
预测值：0.5166666665999999 真实值：0.463333333 误差：11.5107914327%
预测值：0.5956944444833332 真实值：0.592222222 误差：0.586303984273%
预测值：0.6420555555 真实值：0.639444444 误差：0.408340634515%
预测值：0.5758623456688889 真实值：0.57 误差：1.0284816963%
预测值：0.5559074074333333 真实值：0.567222222 误差：1.99477632008%
预测值：0.5891565255555555 真实值：0.584444444 误差：0.806249696431%
预测值：0.5534833333199999 真实值：0.532222222 误差：3.99478083424%
预测值：0.56922685195 真实值：0.549444444 误差：3.60043825468%
预测值：0.5920185186333334 真实值：0.582222222 误差：1.68257003308%
预测值：0.6367261906071429 真实值：0.638888889 误差：0.338509313606%
预测值：0.6404666669 真实值：0.630555556 误差：1.57180613281%
预测值：0.5019999998999999 真实值：0.456666667 误差：9.92700719713%
预测值：0.5821666668 真实值：0.588888889 误差：1.14150942997%
预测值：0.5811481482 真实值：0.583888889 误差：0.469394237779%
预测值：0.5894007937000001 真实值：0.602777778 误差：2.21922320103%
预测值：0.5628194445249999 真实值：0.578333333 误差：2.68251674074%
预测值：0.557388889 真实值：0.541666667 误差：2.90256405975%
预测值：0.5762027777150001 真实值：0.562777778 误差：2.385488596%
预测值：0.5897290122888889 真实值：0.580555556 误差：1.58011687152%
预测值：0.6290297619285714 真实值：0.62 误差：1.45641321429%
预测值：0.6093777777 真实值：0.632777778 误差：3.69798073092%
预测值：0.5921814814666666 真实值：0.57 误差：3.89148797661%
预测值：0.6116944445499999 真实值：0.586666667 误差：4.2660984436%
预测值：0.6112569443875 真实值：0.596666667 误差：2.44529788481%
预测值：0.6450749999450001 真实值：0.646111111 误差：0.160361126339%
预测值：0.49583333320000006 真实值：0.556666667 误差：10.9281437899%
预测值：0.5867499999166668 真实值：0.605 误差：3.01652893939%
预测值：0.6391805555000001 真实值：0.635555556 误差：0.570367053797%
预测值：0.5780138889 真实值：0.556111111 误差：3.93856146133%
预测值：0.5975444444800001 真实值：0.581111111 误差：2.82791589576%
预测值：0.569019444475 真实值：0.550555556 误差：3.35368307045%
预测值：0.5756851852999999 真实值：0.580555556 误差：0.838915526631%
预测值：0.61716666675 真实值：0.595555556 误差：3.62873127994%
预测值：0.4908333333 真实值：0.456666667 误差：7.48175173906%
预测值：0.6554722221999999 真实值：0.663888889 误差：1.26778244665%
预测值：0.5958370371000001 真实值：0.601111111 误差：0.877387525116%
预测值：0.5889685185200001 真实值：0.586111111 误差：0.487519766538%
预测值：0.6154444442999999 真实值：0.595555556 误差：3.33955213743%
预测值：0.5835349205628572 真实值：0.587222222 误差：0.627922666922%
预测值：0.581152777825 真实值：0.6 误差：3.14120369583%
预测值：0.5631888890000001 真实值：0.581666667 误差：3.17669535635%
预测值：0.5839074074666668 真实值：0.577222222 误差：1.15816495136%
预测值：0.6368194444749999 真实值：0.651666667 误差：2.27834616635%
预测值：0.5893449074333332 真实值：0.576666667 误差：2.1985388022%
预测值：0.5691444444 真实值：0.553888889 误差：2.75426275973%
预测值：0.57768333345 真实值：0.549444444 误差：5.13953499%
预测值：0.6287248678 真实值：0.601111111 误差：4.59378579013%
预测值：0.545097222125 真实值：0.545 误差：0.0178389220183%
预测值：0.5771212962933333 真实值：0.573888889 误差：0.563246188468%
预测值：0.607138889075 真实值：0.606111111 误差：0.169569251635%
预测值：0.4848333331 真实值：0.53 误差：8.52201262264%
预测值：0.5908750000333333 真实值：0.572777778 误差：3.15955379703%
预测值：0.57908888882 真实值：0.583888889 误差：0.822074245705%
预测值：0.64184259265 真实值：0.635 误差：1.07757364567%
预测值：0.6029592592666667 真实值：0.591111111 误差：2.00438598534%
预测值：0.5731441137410715 真实值：0.576666667 误差：0.610847385588%
预测值：0.6279960317928571 真实值：0.635555556 误差：1.18943562617%
预测值：0.61161904765 真实值：0.600555556 误差：1.84220952408%
预测值：0.6505611113099999 真实值：0.634444444 误差：2.54028031334%
预测值：0.6153472222249999 真实值：0.621111111 误差：0.927996404012%
预测值：0.5984309763090909 真实值：0.590555556 误差：1.3335612931%
预测值：0.6161111113 真实值：0.622222222 误差：0.982142791422%
