预测值：3.899910982646538 真实值：0.57 误差：584.194909236%
预测值：11.105979699888913 真实值：0.586666667 误差：1793.0647205%
预测值：8.923149586009067 真实值：0.596666667 误差：1395.49992978%
预测值：14.289931133243336 真实值：0.646111111 误差：2111.68323682%
预测值：48.413502804866944 真实值：0.556666667 误差：8597.0364268%
预测值：24.622431058378716 真实值：0.605 误差：3969.82331543%
预测值：19.50385159869149 真实值：0.635555556 误差：2968.78783681%
预测值：45.52368448065449 真实值：0.556111111 误差：8086.07713102%
预测值：2.6026429871239496 真实值：0.581111111 误差：347.873554275%
预测值：19.874699047363556 真实值：0.550555556 误差：3509.93524282%
预测值：27.08019159988755 真实值：0.580555556 误差：4564.53060694%
预测值：28.838714027552392 真实值：0.595555556 误差：4742.32138161%
预测值：42.14327492221566 真实值：0.456666667 误差：9128.45435579%
预测值：28.161218832737468 真实值：0.663888889 误差：4141.85722933%
预测值：1.5132161138531681 真实值：0.601111111 误差：151.736506972%
预测值：14.686240099627248 真实值：0.586111111 误差：2405.70921179%
预测值：16.639359448138585 真实值：0.595555556 误差：2693.92229331%
预测值：28.357121839441398 真实值：0.587222222 误差：4729.02737278%
预测值：21.977082639277178 真实值：0.6 误差：3562.84710655%
预测值：12.293776567190044 真实值：0.581666667 误差：2013.54324816%
预测值：35.35218065169267 真实值：0.577222222 误差：6024.53563018%
预测值：30.58607237204621 真实值：0.651666667 误差：4593.5149396%
预测值：9.724556324192413 真实值：0.576666667 误差：1586.339246%
预测值：15.707530133140672 真实值：0.553888889 误差：2735.86301244%
预测值：17.997014381541767 真实值：0.549444444 误差：3175.49301446%
预测值：16.29586681216103 真实值：0.601111111 误差：2610.95751084%
预测值：14.481677216846784 真实值：0.545 误差：2557.18848016%
预测值：13.29545406754648 真实值：0.573888889 误差：2216.72965314%
预测值：11.827625374412214 真实值：0.606111111 误差：1851.39557084%
预测值：7.761855241490771 真实值：0.53 误差：1364.50098896%
预测值：19.762595802619735 真实值：0.572777778 误差：3350.30770426%
预测值：21.464771436298015 真实值：0.583888889 误差：3576.17398458%
预测值：5.765009229756693 真实值：0.635 误差：807.875469253%
预测值：20.318445880106374 真实值：0.591111111 误差：3337.33107059%
预测值：70.49208371351943 真实值：0.576666667 误差：12124.0607525%
预测值：31.945256160980144 真实值：0.635555556 误差：4926.35149035%
预测值：6.352847326682031 真实值：0.600555556 误差：957.828416241%
预测值：40.83809250165911 真实值：0.634444444 误差：6336.82719391%
预测值：29.895409534790197 真实值：0.621111111 误差：4713.21441612%
预测值：9.815333460655957 真实值：0.590555556 误差：1562.05081993%
预测值：33.750301827099584 真实值：0.622222222 误差：5324.15565272%
预测值：10.054888237333849 真实值：0.582222222 误差：1626.98462158%
预测值：-5.017051867196123 真实值：0.605 误差：929.264771437%
预测值：19.070142476756992 真实值：0.575555556 误差：3213.34521541%
预测值：12.410804448411746 真实值：0.565 误差：2096.60255724%
预测值：11.830708163017967 真实值：0.564444444 误差：1995.99160533%
预测值：14.171419277989749 真实值：0.576111111 误差：2359.84134092%
预测值：27.326774005774105 真实值：0.623333333 误差：4283.97444177%
预测值：31.353303981840845 真实值：0.607222222 误差：5063.39864483%
预测值：-32.58027348056947 真实值：0.463333333 误差：7131.7137059%
预测值：31.526209175931918 真实值：0.545 误差：5684.62553687%
预测值：16.985488929893172 真实值：0.588888889 误差：2784.32830831%
预测值：10.050053681209938 真实值：0.599444444 误差：1576.5613197%
预测值：0.22658795924559844 真实值：0.645555556 误差：64.9003161479%
预测值：4.698757754809726 真实值：0.558888889 误差：740.732003676%
预测值：3.070314161326514 真实值：0.62 误差：395.211961504%
预测值：1.5365295307495397 真实值：0.558888889 误差：174.925760914%
预测值：16.981032003931382 真实值：0.612222222 误差：2673.67129022%
预测值：5.0563567797966655 真实值：0.579444444 误差：772.621496703%
预测值：13.679935099308587 真实值：0.561666667 误差：2335.59675214%
预测值：-18.947897491585472 真实值：0.53 误差：3675.07499841%
预测值：-28.18598426030683 真实值：0.461666667 误差：6205.26734439%
预测值：71.61341856306188 真实值：0.556666667 误差：12764.6859617%
预测值：8.83976132070115 真实值：0.562222222 误差：1472.28956359%
预测值：39.46056471611673 真实值：0.619444444 误差：6270.31538475%
预测值：6.663324957425807 真实值：0.515 误差：1193.8495063%
预测值：7.183649467327832 真实值：0.578333333 误差：1142.12959161%
预测值：13.403235574626201 真实值：0.539444444 误差：2384.63687479%
预测值：17.72798364780119 真实值：0.549444444 误差：3126.52887683%
预测值：24.91725051871942 真实值：0.586111111 误差：4151.2844495%
预测值：50.15977515491165 真实值：0.639444444 误差：7744.27413915%
预测值：35.623861489539145 真实值：0.64 误差：5466.22835774%
预测值：8.49197067545203 真实值：0.596666667 误差：1323.23530794%
预测值：16.154283238139506 真实值：0.591666667 误差：2630.30139082%
预测值：8.306294592868149 真实值：0.599444444 误差：1285.66545674%
预测值：-12.740367620856595 真实值：0.468333333 误差：2820.363195%
预测值：22.10060440049603 真实值：0.592777778 误差：3628.31189372%
预测值：30.8684962635212 真实值：0.616111111 误差：4910.21580562%
预测值：34.46387172317993 真实值：0.577777778 误差：5864.90087287%
预测值：4.105013695502926 真实值：0.612222222 误差：570.510404228%
预测值：23.530002693902084 真实值：0.562222222 误差：4085.17834642%
预测值：9.8662774735297 真实值：0.552777778 误差：1684.8542156%
预测值：22.14526253811011 真实值：0.571111111 误差：3777.57515334%
预测值：39.374518941307834 真实值：0.637777778 误差：6073.70505833%
